trading_day,time,ap1,ap2,ap3,ap4,ap5,av1,av2,av3,av4,av5,bp1,bp2,bp3,bp4,bp5,bv1,bv2,bv3,bv4,bv5
20200226,93000000,4660000.0,4664400.0,4670000.0,4675000.0,4675200.0,200,100,2900,1700,100,4654600.0,4653800.0,4652100.0,4651100.0,4651000.0,200,100,200,300,100
20200226,93003000,4660000.0,4664400.0,4665400.0,4665700.0,4667000.0,8948,400,200,200,200,4653800.0,4651000.0,4650700.0,4650500.0,4650400.0,100,200,500,1000,100
20200226,93006000,4659900.0,4660000.0,4664300.0,4664400.0,4665700.0,2200,5948,100,400,200,4655000.0,4653800.0,4652800.0,4652100.0,4651200.0,200,100,100,100,200
20200226,93009000,4654900.0,4659800.0,4660000.0,4664300.0,4664400.0,1600,1300,5948,100,400,4652800.0,4652000.0,4651200.0,4651000.0,4650500.0,100,1000,200,100,1000
20200226,93012000,4655000.0,4659800.0,4660000.0,4664300.0,4664400.0,500,1300,5648,200,100,4653800.0,4653000.0,4652800.0,4652000.0,4651200.0,100,100,100,800,200
20200226,93015000,4655000.0,4655900.0,4656800.0,4659800.0,4660000.0,200,200,200,1300,5648,4654600.0,4652800.0,4652000.0,4651200.0,4651000.0,200,100,800,200,100
20200226,93018000,4656800.0,4660000.0,4664300.0,4664400.0,4669500.0,100,5648,200,100,200,4655000.0,4654900.0,4654700.0,4654600.0,4652800.0,300,200,300,400,100
20200226,93021000,4654800.0,4654900.0,4659900.0,4660000.0,4664300.0,200,900,100,5648,200,4654600.0,4652000.0,4651200.0,4651000.0,4650500.0,400,800,200,100,1000
20200226,93024000,4654100.0,4656700.0,4660000.0,4664300.0,4664400.0,500,100,5648,200,100,4653900.0,4652000.0,4651400.0,4651200.0,4651000.0,400,800,100,200,100
20200226,93027000,4653900.0,4654700.0,4656700.0,4660000.0,4664300.0,1900,4360,100,5648,200,4652000.0,4651400.0,4651200.0,4651000.0,4650500.0,800,100,200,100,1000
20200226,93030000,4652000.0,4653800.0,4654700.0,4656700.0,4660000.0,300,1421,4360,100,5648,4651800.0,4651400.0,4651200.0,4651000.0,4650500.0,100,100,200,700,1000
20200226,93033000,4651400.0,4656700.0,4660000.0,4664300.0,4664400.0,800,100,5548,200,100,4651200.0,4651000.0,4650500.0,4650400.0,4650200.0,200,1700,1000,100,1200
20200226,93036000,4656700.0,4660000.0,4664300.0,4664400.0,4669500.0,100,5148,200,100,200,4652000.0,4651400.0,4651300.0,4651200.0,4651000.0,800,500,400,300,1700
20200226,93039000,4660000.0,4664300.0,4664400.0,4669500.0,4669900.0,5148,200,100,200,200,4652000.0,4651400.0,4651300.0,4651200.0,4651000.0,700,500,300,400,1800
20200226,93042000,4660000.0,4664300.0,4664400.0,4669500.0,4669900.0,5148,200,100,200,200,4653700.0,4652100.0,4652000.0,4651500.0,4651400.0,700,200,300,100,500
20200226,93045000,4659900.0,4660000.0,4664300.0,4664400.0,4669500.0,3760,4848,200,100,200,4656700.0,4653800.0,4653700.0,4652100.0,4652000.0,100,600,200,200,700
20200226,93048000,4660000.0,4664300.0,4664400.0,4669500.0,4669900.0,4148,100,100,200,200,4652100.0,4652000.0,4651500.0,4651400.0,4651200.0,500,2000,100,1300,400
20200226,93051000,4660000.0,4664300.0,4664400.0,4669500.0,4669900.0,2908,100,100,200,200,4653900.0,4653700.0,4652200.0,4652000.0,4651500.0,100,100,100,1900,100
20200226,93054000,4660000.0,4664300.0,4664400.0,4670000.0,4674500.0,2408,100,100,1400,100,4654000.0,4653900.0,4653700.0,4653000.0,4652000.0,200,100,100,100,2500
20200226,93057000,4664300.0,4664400.0,4670000.0,4674500.0,4679500.0,100,100,1400,100,200,4660100.0,4660000.0,4655000.0,4654200.0,4653900.0,600,1692,100,200,200
20200226,93100000,4670000.0,4674500.0,4679500.0,4679700.0,4679900.0,1400,100,200,100,6500,4660600.0,4660500.0,4660200.0,4660000.0,4656800.0,900,100,100,3492,100
20200226,93103000,4674500.0,4679500.0,4679700.0,4679900.0,4680000.0,100,200,100,6500,6100,4664300.0,4660700.0,4660600.0,4660500.0,4660200.0,600,100,1100,100,100
20200226,93106000,4674400.0,4679500.0,4679700.0,4679900.0,4680000.0,500,200,100,6500,6100,4660800.0,4660700.0,4660600.0,4660500.0,4660200.0,500,100,400,100,200
20200226,93109000,4660900.0,4661000.0,4669900.0,4679500.0,4679700.0,100,100,200,200,100,4660000.0,4656800.0,4655800.0,4655000.0,4654800.0,1392,100,100,400,100
20200226,93112000,4664300.0,4664400.0,4669900.0,4679500.0,4679700.0,100,100,200,200,100,4662000.0,4661000.0,4660000.0,4655800.0,4655500.0,400,200,592,100,100
20200226,93115000,4679500.0,4679700.0,4679900.0,4680000.0,4682100.0,200,100,6500,6100,200,4662100.0,4662000.0,4661000.0,4660900.0,4660000.0,100,300,200,2100,400
20200226,93118000,4665000.0,4679500.0,4679700.0,4679900.0,4680000.0,300,200,100,6500,6100,4662100.0,4662000.0,4660900.0,4660000.0,4659900.0,200,300,2200,1200,100
