nActionDay,nTime,nPrice,nVolume
20200226,93000030,4660000,100
20200226,93000030,4660000,100
20200226,93000090,4660000,100
20200226,93000220,4660100,100
20200226,93000220,4660000,200
20200226,93000220,4660000,300
20200226,93000310,4660000,100
20200226,93000480,4660000,100
20200226,93000500,4660000,100
20200226,93000500,4655000,200
20200226,93000500,4655000,48
20200226,93000510,4655000,52
20200226,93000510,4654800,100
20200226,93000510,4654700,600
20200226,93000510,4654700,600
20200226,93000510,4654600,100
20200226,93000510,4654600,100
20200226,93000510,4653800,100
20200226,93000530,4653000,100
20200226,93000560,4653000,100
20200226,93000720,4653000,100
20200226,93000720,4653000,48
20200226,93000720,4654600,52
20200226,93000720,4654600,100
20200226,93000760,4654600,100
20200226,93000760,4654600,100
20200226,93000790,4654600,100
20200226,93000790,4654600,100
20200226,93000880,4654600,100
20200226,93001070,4654100,100
20200226,93001190,4654100,100
20200226,93001200,4654600,100
20200226,93001330,4654600,100
20200226,93001510,4653800,100
20200226,93001670,4654600,48
20200226,93001670,4654600,52
20200226,93001700,4652100,100
20200226,93001700,4652100,100
20200226,93001790,4654600,100
20200226,93001830,4654600,48
20200226,93001830,4654600,100
20200226,93001830,4654600,300
20200226,93001830,4654600,100
20200226,93001840,4654800,400
20200226,93001870,4654600,152
20200226,93001870,4651100,148
20200226,93001950,4654600,100
20200226,93002080,4651100,152
20200226,93002090,4651100,100
20200226,93002110,4651100,100
20200226,93002190,4651100,100
20200226,93002230,4651100,48
20200226,93002230,4655000,52
20200226,93002290,4651000,100
20200226,93002360,4651000,100
20200226,93002370,4655000,100
20200226,93002420,4655000,100
20200226,93002450,4655000,100
20200226,93002480,4655000,48
20200226,93002480,4655100,52
20200226,93002680,4654700,100
20200226,93002770,4652100,100
20200226,93002820,4652100,100
20200226,93002930,4651000,100
20200226,93003080,4652100,100
20200226,93003080,4654600,100
20200226,93003080,4655100,48
20200226,93003080,4659800,100
20200226,93003080,4660000,252
20200226,93003100,4660000,100
20200226,93003150,4660000,100
20200226,93003200,4653800,100
20200226,93003200,4651000,200
20200226,93003200,4650700,500
20200226,93003220,4660000,1000
20200226,93003560,4655000,100
20200226,93003570,4655000,100
20200226,93003870,4659900,100
20200226,93003920,4657100,100
20200226,93004070,4659900,100
20200226,93004220,4656900,100
20200226,93004240,4660000,100
20200226,93004330,4660000,100
20200226,93004450,4660000,100
20200226,93004740,4660000,200
20200226,93004750,4660000,200
20200226,93004830,4655000,100
20200226,93004930,4655000,100
20200226,93004930,4655000,100
20200226,93004940,4655000,100
20200226,93004940,4655000,100
20200226,93005000,4654600,100
20200226,93005000,4653900,100
20200226,93005260,4655000,100
20200226,93005260,4655000,100
20200226,93005290,4654600,100
20200226,93005290,4657300,100
20200226,93005290,4660000,400
20200226,93005390,4653900,100
20200226,93005430,4654400,100
20200226,93005530,4658000,100
20200226,93005560,4660000,1000
20200226,93005720,4656900,100
20200226,93005720,4655000,100
20200226,93005800,4653900,400
20200226,93005830,4655000,100
20200226,93006000,4653900,100
20200226,93006020,4653900,100
20200226,93006020,4653800,100
20200226,93006020,4653900,600
20200226,93006030,4653900,1700
20200226,93006030,4655000,1100
20200226,93006040,4655000,200
20200226,93006320,4655000,100
20200226,93006420,4655100,200
20200226,93006420,4655000,100
20200226,93006590,4654000,300
20200226,93006590,4659900,200
20200226,93006690,4655000,100
20200226,93006690,4655000,100
20200226,93006720,4655100,200
