episode,step,action,position,midprice,spread,quoted_ask,quoted_bid,ask_level,bid_level,pnl_step,bandh_step
20200226,34503000,8,0,46620.5,39.0,46671.0,46571.0,5,5,0.0,-0.5
20200226,34506000,2,-100,46620.5,39.0,46640.0,46600.0,2,2,1950.0,0.0
20200226,34509000,8,-200,46689.0,158.0,46670.0,46570.0,5,5,-8750.0,68.5
20200226,34512000,6,-200,46705.0,110.0,46699.0,46649.0,1,4,-3200.0,16.0
20200226,34515000,1,100,46695.5,129.0,46715.0,46665.0,1,4,-6350.0,-9.5
20200226,34518000,6,300,46649.0,2.0,46705.0,46655.0,1,4,-6850.0,-46.5
20200226,34521000,3,300,46704.0,112.0,46679.0,46619.0,3,3,16500.0,55.0
20200226,34524000,3,100,46693.0,134.0,46734.0,46674.0,3,3,-1400.0,-11.0
20200226,34527000,1,200,46636.0,20.0,46723.0,46663.0,3,3,-13200.0,-57.0
20200226,34530000,3,200,46623.0,2.0,46666.0,46606.0,3,3,-2600.0,-13.0
20200226,34533000,8,200,46616.0,10.0,46673.0,46573.0,5,5,-1400.0,-7.0
20200226,34536000,8,200,46607.5,5.0,46666.0,46566.0,5,5,-1700.0,-8.5
20200226,34539000,4,200,46601.5,3.0,46607.0,46587.0,0,2,-1100.0,-6.0
20200226,34542000,5,400,46582.5,5.0,46621.0,46601.0,2,0,-6100.0,-19.0
20200226,34545000,8,400,46555.0,6.0,46632.0,46532.0,5,5,-11000.0,-27.5
20200226,34548000,1,0,46539.5,19.0,46605.0,46505.0,5,5,-1800.0,-15.5
20200226,34551000,0,-100,46569.0,22.0,46549.0,46529.0,1,1,-2000.0,29.5
20200226,34554000,4,0,46552.5,65.0,46569.0,46549.0,0,2,5700.0,-16.5
20200226,34557000,2,-100,46589.5,19.0,46572.0,46532.0,2,2,-1750.0,37.0
20200226,34560000,6,-100,46589.5,19.0,46599.0,46549.0,1,4,0.0,0.0
20200226,34563000,8,-100,46548.5,41.0,46639.0,46539.0,5,5,4100.0,-41.0
20200226,34566000,0,100,46517.0,10.0,46558.0,46538.0,1,1,-2150.0,-31.5
20200226,34569000,0,100,46520.5,15.0,46527.0,46507.0,1,1,350.0,3.5
20200226,34572000,4,0,46503.5,3.0,46520.0,46500.0,0,2,1950.0,-17.0
20200226,34575000,4,-100,46500.5,1.0,46503.0,46483.0,0,2,250.0,-3.0
20200226,34578000,7,0,46448.0,96.0,46540.0,46490.0,4,1,5050.0,-52.5
20200226,34581000,8,-100,46455.5,93.0,46498.0,46398.0,5,5,4250.0,7.5
20200226,34584000,7,-200,46454.5,91.0,46495.0,46445.0,4,1,4150.0,-1.0
20200226,34587000,4,-200,46501.0,2.0,46454.0,46434.0,0,2,-7300.0,46.5
20200226,34590000,8,-300,46550.5,101.0,46551.0,46451.0,5,5,-9850.0,49.5
20200226,34593000,6,-100,46551.0,98.0,46560.0,46510.0,1,4,13950.0,0.5
20200226,34596000,4,0,46540.5,79.0,46551.0,46531.0,0,2,2000.0,-10.5
20200226,34599000,6,-200,46540.5,79.0,46550.0,46500.0,1,4,2000.0,0.0
20200226,34602000,4,0,46457.5,79.0,46540.0,46520.0,0,2,6100.0,-83.0
20200226,34605000,4,0,46458.5,85.0,46457.0,46437.0,0,2,2000.0,1.0
20200226,34608000,5,-100,46500.5,1.0,46478.0,46458.0,2,0,-2250.0,42.0
20200226,34611000,3,-100,46459.0,84.0,46530.0,46470.0,3,3,4150.0,-41.5
20200226,34614000,7,0,46460.0,80.0,46499.0,46449.0,4,1,3900.0,1.0
20200226,34617000,6,0,46460.0,80.0,46470.0,46420.0,1,4,5000.0,0.0
20200226,34620000,6,0,46459.0,82.0,46470.0,46420.0,1,4,5000.0,-1.0
20200226,34623000,8,0,46459.5,79.0,46509.0,46409.0,5,5,0.0,0.5
20200226,34626000,5,-100,46460.0,80.0,46479.0,46459.0,2,0,1900.0,0.5
20200226,34629000,1,200,46419.0,2.0,46480.0,46460.0,2,0,-12100.0,-41.0
20200226,34632000,6,0,46460.0,80.0,46429.0,46379.0,1,4,7100.0,41.0
20200226,34635000,4,-100,46500.5,1.0,46460.0,46440.0,0,2,-4050.0,40.5
20200226,34638000,4,0,46461.0,80.0,46500.0,46480.0,0,2,8050.0,-39.5
20200226,34641000,8,0,46461.0,78.0,46511.0,46411.0,5,5,0.0,0.0
20200226,34644000,6,-100,46501.5,1.0,46471.0,46421.0,1,4,-3050.0,40.5
20200226,34647000,2,-100,46501.5,1.0,46521.0,46481.0,2,2,0.0,0.0
20200226,34650000,1,100,46465.0,70.0,46521.0,46481.0,2,2,-1650.0,-36.5
20200226,34653000,2,100,46463.0,76.0,46485.0,46445.0,2,2,3800.0,-2.0
20200226,34656000,3,100,46464.5,73.0,46493.0,46433.0,3,3,6150.0,1.5
20200226,34659000,3,100,46484.0,34.0,46494.0,46434.0,3,3,7950.0,19.5
20200226,34662000,3,200,46484.0,34.0,46514.0,46454.0,3,3,3000.0,0.0
20200226,34665000,1,100,46501.5,1.0,46514.0,46454.0,3,3,1350.0,17.5
20200226,34668000,4,0,46501.5,1.0,46501.0,46481.0,0,2,-50.0,0.0
20200226,34671000,1,100,46464.0,72.0,46501.0,46481.0,0,2,-1700.0,-37.5
20200226,34674000,2,100,46447.5,39.0,46484.0,46444.0,2,2,2350.0,-16.5
20200226,34677000,4,0,46463.0,74.0,46447.0,46427.0,0,2,7350.0,15.5
20200226,34680000,8,0,46501.0,2.0,46513.0,46413.0,5,5,0.0,38.0
20200226,34683000,1,0,46539.5,79.0,46551.0,46451.0,5,5,0.0,38.5
20200226,34686000,7,0,46540.0,76.0,46579.0,46529.0,4,1,0.0,0.5
20200226,34689000,2,100,46540.5,75.0,46560.0,46520.0,2,2,450.0,0.5
20200226,34692000,5,100,46538.0,70.0,46560.0,46540.0,2,0,1750.0,-2.5
20200226,34695000,8,100,46538.0,70.0,46588.0,46488.0,5,5,0.0,0.0
20200226,34698000,7,100,46575.5,5.0,46578.0,46528.0,4,1,3750.0,37.5
20200226,34701000,4,300,46544.0,52.0,46575.0,46555.0,0,2,-2650.0,-31.5
20200226,34704000,6,100,46540.0,76.0,46554.0,46504.0,1,4,3700.0,-4.0
20200226,34707000,6,100,46502.5,1.0,46550.0,46500.0,1,4,850.0,-37.5
20200226,34710000,7,100,46502.5,1.0,46542.0,46492.0,4,1,0.0,0.0
20200226,34713000,6,100,46501.5,3.0,46512.0,46462.0,1,4,-100.0,-1.0
20200226,34716000,8,100,46536.5,73.0,46551.0,46451.0,5,5,3500.0,35.0
20200226,34719000,0,100,46538.0,70.0,46546.0,46526.0,1,1,150.0,1.5
20200226,34722000,6,100,46538.0,70.0,46548.0,46498.0,1,4,0.0,0.0
20200226,34725000,6,100,46538.0,70.0,46548.0,46498.0,1,4,0.0,0.0
20200226,34728000,0,200,46536.5,73.0,46548.0,46528.0,1,1,-700.0,-1.5
20200226,34731000,0,100,46585.5,25.0,46546.0,46526.0,1,1,8050.0,49.0
20200226,34734000,8,200,46586.0,26.0,46635.0,46535.0,5,5,5150.0,0.5
20200226,34737000,2,300,46537.0,72.0,46606.0,46566.0,2,2,-12700.0,-49.0
20200226,34740000,1,-100,46555.0,88.0,46557.0,46517.0,2,2,-10800.0,18.0
